The loss of epoch0is:tf.Tensor(8.074845, shape=(), dtype=float32)
The loss of epoch1is:tf.Tensor(7.5851235, shape=(), dtype=float32)
The loss of epoch2is:tf.Tensor(7.1282883, shape=(), dtype=float32)
The loss of epoch3is:tf.Tensor(6.828103, shape=(), dtype=float32)
The loss of epoch4is:tf.Tensor(6.668428, shape=(), dtype=float32)
The loss of epoch5is:tf.Tensor(6.451077, shape=(), dtype=float32)
The loss of epoch6is:tf.Tensor(6.293915, shape=(), dtype=float32)
The loss of epoch7is:tf.Tensor(6.291689, shape=(), dtype=float32)
The loss of epoch8is:tf.Tensor(6.273509, shape=(), dtype=float32)
The loss of epoch9is:tf.Tensor(6.18213, shape=(), dtype=float32)
The loss of epoch10is:tf.Tensor(6.122432, shape=(), dtype=float32)
The loss of epoch11is:tf.Tensor(6.1275797, shape=(), dtype=float32)
The loss of epoch12is:tf.Tensor(6.072563, shape=(), dtype=float32)
The loss of epoch13is:tf.Tensor(6.1105175, shape=(), dtype=float32)
The loss of epoch14is:tf.Tensor(6.1333594, shape=(), dtype=float32)
The loss of epoch15is:tf.Tensor(6.0385103, shape=(), dtype=float32)
The loss of epoch16is:tf.Tensor(5.9656286, shape=(), dtype=float32)
The loss of epoch17is:tf.Tensor(6.286539, shape=(), dtype=float32)
The loss of epoch18is:tf.Tensor(6.057736, shape=(), dtype=float32)
The loss of epoch19is:tf.Tensor(6.083297, shape=(), dtype=float32)
The loss of epoch20is:tf.Tensor(6.023168, shape=(), dtype=float32)
The loss of epoch21is:tf.Tensor(5.9738874, shape=(), dtype=float32)
The loss of epoch22is:tf.Tensor(6.020125, shape=(), dtype=float32)
The loss of epoch23is:tf.Tensor(5.914546, shape=(), dtype=float32)
The loss of epoch24is:tf.Tensor(6.0637007, shape=(), dtype=float32)
The loss of epoch25is:tf.Tensor(5.875332, shape=(), dtype=float32)
The loss of epoch26is:tf.Tensor(6.078606, shape=(), dtype=float32)
The loss of epoch27is:tf.Tensor(5.9382515, shape=(), dtype=float32)
The loss of epoch28is:tf.Tensor(6.168077, shape=(), dtype=float32)
The loss of epoch29is:tf.Tensor(6.093438, shape=(), dtype=float32)
The loss of epoch30is:tf.Tensor(5.9108233, shape=(), dtype=float32)
The loss of epoch31is:tf.Tensor(5.994409, shape=(), dtype=float32)
The loss of epoch32is:tf.Tensor(6.008405, shape=(), dtype=float32)
The loss of epoch33is:tf.Tensor(5.912747, shape=(), dtype=float32)
The loss of epoch34is:tf.Tensor(6.0004234, shape=(), dtype=float32)
The loss of epoch35is:tf.Tensor(5.987077, shape=(), dtype=float32)
The loss of epoch36is:tf.Tensor(5.919033, shape=(), dtype=float32)
The loss of epoch37is:tf.Tensor(6.1426797, shape=(), dtype=float32)
The loss of epoch38is:tf.Tensor(5.98475, shape=(), dtype=float32)
The loss of epoch39is:tf.Tensor(5.942112, shape=(), dtype=float32)
The loss of epoch40is:tf.Tensor(5.8961787, shape=(), dtype=float32)
The loss of epoch41is:tf.Tensor(5.734054, shape=(), dtype=float32)
The loss of epoch42is:tf.Tensor(5.959354, shape=(), dtype=float32)
The loss of epoch43is:tf.Tensor(5.8389482, shape=(), dtype=float32)
The loss of epoch44is:tf.Tensor(5.930793, shape=(), dtype=float32)
The loss of epoch45is:tf.Tensor(5.9656353, shape=(), dtype=float32)
The loss of epoch46is:tf.Tensor(5.841104, shape=(), dtype=float32)
The loss of epoch47is:tf.Tensor(5.990287, shape=(), dtype=float32)
The loss of epoch48is:tf.Tensor(5.864326, shape=(), dtype=float32)
The loss of epoch49is:tf.Tensor(6.04504, shape=(), dtype=float32)
The loss of epoch50is:tf.Tensor(6.001672, shape=(), dtype=float32)
The loss of epoch51is:tf.Tensor(5.874346, shape=(), dtype=float32)
The loss of epoch52is:tf.Tensor(5.876644, shape=(), dtype=float32)
The loss of epoch53is:tf.Tensor(5.854795, shape=(), dtype=float32)
The loss of epoch54is:tf.Tensor(5.861752, shape=(), dtype=float32)
The loss of epoch55is:tf.Tensor(5.95534, shape=(), dtype=float32)
The loss of epoch56is:tf.Tensor(6.091892, shape=(), dtype=float32)
The loss of epoch57is:tf.Tensor(5.8972507, shape=(), dtype=float32)
The loss of epoch58is:tf.Tensor(5.9064507, shape=(), dtype=float32)
The loss of epoch59is:tf.Tensor(5.8255367, shape=(), dtype=float32)
The loss of epoch60is:tf.Tensor(5.874333, shape=(), dtype=float32)
The loss of epoch61is:tf.Tensor(5.750906, shape=(), dtype=float32)
The loss of epoch62is:tf.Tensor(5.863477, shape=(), dtype=float32)
The loss of epoch63is:tf.Tensor(5.8080897, shape=(), dtype=float32)
The loss of epoch64is:tf.Tensor(5.8286195, shape=(), dtype=float32)
The loss of epoch65is:tf.Tensor(5.882423, shape=(), dtype=float32)
The loss of epoch66is:tf.Tensor(5.96948, shape=(), dtype=float32)
The loss of epoch67is:tf.Tensor(5.866418, shape=(), dtype=float32)
The loss of epoch68is:tf.Tensor(5.940917, shape=(), dtype=float32)
The loss of epoch69is:tf.Tensor(5.8935657, shape=(), dtype=float32)
The loss of epoch70is:tf.Tensor(5.6357164, shape=(), dtype=float32)
The loss of epoch71is:tf.Tensor(5.813863, shape=(), dtype=float32)
The loss of epoch72is:tf.Tensor(6.0039444, shape=(), dtype=float32)
The loss of epoch73is:tf.Tensor(5.7875404, shape=(), dtype=float32)
The loss of epoch74is:tf.Tensor(5.803568, shape=(), dtype=float32)
The loss of epoch75is:tf.Tensor(5.787902, shape=(), dtype=float32)
The loss of epoch76is:tf.Tensor(5.804511, shape=(), dtype=float32)
The loss of epoch77is:tf.Tensor(5.7124624, shape=(), dtype=float32)
The loss of epoch78is:tf.Tensor(5.748244, shape=(), dtype=float32)
The loss of epoch79is:tf.Tensor(5.836639, shape=(), dtype=float32)
The loss of epoch80is:tf.Tensor(6.0623226, shape=(), dtype=float32)
The loss of epoch81is:tf.Tensor(5.7189436, shape=(), dtype=float32)
The loss of epoch82is:tf.Tensor(5.669655, shape=(), dtype=float32)
The loss of epoch83is:tf.Tensor(5.7441273, shape=(), dtype=float32)
The loss of epoch84is:tf.Tensor(5.769975, shape=(), dtype=float32)
The loss of epoch85is:tf.Tensor(5.7285967, shape=(), dtype=float32)
The loss of epoch86is:tf.Tensor(5.829927, shape=(), dtype=float32)
The loss of epoch87is:tf.Tensor(5.755204, shape=(), dtype=float32)
The loss of epoch88is:tf.Tensor(5.934229, shape=(), dtype=float32)
The loss of epoch89is:tf.Tensor(5.623316, shape=(), dtype=float32)
The loss of epoch90is:tf.Tensor(5.7290735, shape=(), dtype=float32)
The loss of epoch91is:tf.Tensor(5.7558694, shape=(), dtype=float32)
The loss of epoch92is:tf.Tensor(5.7366085, shape=(), dtype=float32)
The loss of epoch93is:tf.Tensor(5.8764067, shape=(), dtype=float32)
The loss of epoch94is:tf.Tensor(5.758659, shape=(), dtype=float32)
The loss of epoch95is:tf.Tensor(5.621255, shape=(), dtype=float32)
The loss of epoch96is:tf.Tensor(5.7229185, shape=(), dtype=float32)
The loss of epoch97is:tf.Tensor(5.7410946, shape=(), dtype=float32)
The loss of epoch98is:tf.Tensor(5.8144917, shape=(), dtype=float32)
The loss of epoch99is:tf.Tensor(5.7603636, shape=(), dtype=float32)
The loss of epoch100is:tf.Tensor(5.5701017, shape=(), dtype=float32)
The loss of epoch101is:tf.Tensor(5.6052017, shape=(), dtype=float32)
The loss of epoch102is:tf.Tensor(5.6709027, shape=(), dtype=float32)
The loss of epoch103is:tf.Tensor(5.795225, shape=(), dtype=float32)
The loss of epoch104is:tf.Tensor(5.732925, shape=(), dtype=float32)
The loss of epoch105is:tf.Tensor(5.787861, shape=(), dtype=float32)
The loss of epoch106is:tf.Tensor(5.671946, shape=(), dtype=float32)
The loss of epoch107is:tf.Tensor(5.8600845, shape=(), dtype=float32)
The loss of epoch108is:tf.Tensor(5.608988, shape=(), dtype=float32)
The loss of epoch109is:tf.Tensor(5.557397, shape=(), dtype=float32)
The loss of epoch110is:tf.Tensor(5.7867193, shape=(), dtype=float32)
The loss of epoch111is:tf.Tensor(5.847059, shape=(), dtype=float32)
The loss of epoch112is:tf.Tensor(5.667328, shape=(), dtype=float32)
The loss of epoch113is:tf.Tensor(5.6339097, shape=(), dtype=float32)
The loss of epoch114is:tf.Tensor(5.845914, shape=(), dtype=float32)
The loss of epoch115is:tf.Tensor(5.587304, shape=(), dtype=float32)
The loss of epoch116is:tf.Tensor(5.6818495, shape=(), dtype=float32)
The loss of epoch117is:tf.Tensor(5.6034927, shape=(), dtype=float32)
The loss of epoch118is:tf.Tensor(5.699266, shape=(), dtype=float32)
The loss of epoch119is:tf.Tensor(5.6121244, shape=(), dtype=float32)
The loss of epoch120is:tf.Tensor(5.6586967, shape=(), dtype=float32)
